LAT;;;;;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258
LON;;;;;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232
ASL;;;;;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000
CITY;;;;;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town
DOMAIN;;;;;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;%;min;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;04;28;14;00;27.29;37.00;1012.60;0.00;0.00;0.00;641.69;9.79;252.90
2019;04;28;15;00;27.26;37.00;1012.60;0.00;0.00;60.00;571.38;8.85;243.43
2019;04;28;16;00;27.15;37.00;1012.60;0.00;0.00;60.00;451.23;6.88;227.12
2019;04;28;17;00;26.60;40.00;1012.50;0.00;0.00;60.00;290.14;5.86;190.62
2019;04;28;18;00;24.76;51.00;1012.50;0.00;0.00;60.00;105.91;4.90;162.90
2019;04;28;19;00;22.56;62.00;1012.90;0.00;4.00;10.49;0.00;5.62;140.19
2019;04;28;20;00;20.87;71.00;1013.40;0.00;7.00;0.00;0.00;5.35;132.27
2019;04;28;21;00;19.49;79.00;1013.60;0.00;9.00;0.00;0.00;5.12;129.29
2019;04;28;22;00;18.56;83.00;1013.70;0.00;10.00;0.00;0.00;4.58;135.00
2019;04;28;23;00;17.84;86.00;1014.00;0.00;9.00;0.00;0.00;4.33;138.37
2019;04;29;00;00;17.15;88.00;1014.10;0.00;42.00;0.00;0.00;4.07;135.00
2019;04;29;01;00;16.42;91.00;1014.10;0.00;58.00;0.00;0.00;2.81;129.81
2019;04;29;02;00;15.81;93.00;1014.10;0.00;70.00;0.00;0.00;2.41;116.57
2019;04;29;03;00;15.38;93.00;1014.20;0.00;66.00;0.00;0.00;2.16;90.00
2019;04;29;04;00;15.14;92.00;1014.00;0.00;59.00;0.00;0.00;2.28;71.57
2019;04;29;05;00;15.11;88.00;1013.50;0.00;49.00;0.00;0.00;2.31;51.34
2019;04;29;06;00;15.35;83.00;1013.40;0.00;66.00;0.00;0.00;2.28;18.43
2019;04;29;07;00;15.52;79.00;1013.50;0.00;100.00;0.00;0.00;2.52;360.00
2019;04;29;08;00;15.82;77.00;1014.00;0.00;100.00;0.00;28.48;4.07;315.00
2019;04;29;09;00;17.12;71.00;1014.10;0.00;100.00;0.00;183.34;5.19;303.69
2019;04;29;10;00;18.71;62.00;1014.70;0.00;81.00;0.00;357.78;7.79;303.69
2019;04;29;11;00;19.41;62.00;1014.90;0.00;100.00;8.30;501.07;9.00;306.87
2019;04;29;12;00;20.38;58.00;1014.40;0.00;100.00;0.00;589.18;10.00;300.26
2019;04;29;13;00;21.05;56.00;1014.10;0.00;100.00;0.00;629.23;11.44;282.72
2019;04;29;14;00;22.76;54.00;1013.20;0.00;80.00;0.00;616.77;11.89;268.26
2019;04;29;15;00;23.02;51.00;1013.00;0.00;73.00;8.94;549.13;9.00;270.00
2019;04;29;16;00;23.02;51.00;1013.00;0.00;64.00;13.40;433.43;6.83;251.57
2019;04;29;17;00;22.61;53.00;1012.90;0.00;57.00;19.15;277.68;5.35;222.27
2019;04;29;18;00;21.54;59.00;1013.10;0.00;100.00;23.62;99.68;4.35;204.44
2019;04;29;19;00;19.99;66.00;1013.20;0.00;50.00;0.00;0.00;5.41;183.81
2019;04;29;20;00;18.48;74.00;1013.60;0.00;59.00;0.00;0.00;5.51;191.31
2019;04;29;21;00;17.39;80.00;1013.70;0.00;63.00;0.00;0.00;5.41;176.19
2019;04;29;22;00;16.63;85.00;1013.50;0.00;67.00;0.00;0.00;5.24;164.05
2019;04;29;23;00;16.00;88.00;1013.70;0.00;78.00;0.00;0.00;3.67;168.69
2019;04;30;00;00;15.49;91.00;1014.00;0.00;89.00;0.00;0.00;1.80;216.87
2019;04;30;01;00;15.20;92.00;1014.00;0.00;100.00;0.00;0.00;1.61;296.57
2019;04;30;02;00;14.92;92.00;1014.00;0.00;100.00;0.00;0.00;5.40;306.87
2019;04;30;03;00;14.43;93.00;1014.80;0.00;100.00;0.00;0.00;8.21;307.87
2019;04;30;04;00;13.93;93.00;1014.80;0.00;100.00;0.00;0.00;8.71;299.74
2019;04;30;05;00;13.66;93.00;1015.00;0.00;100.00;0.00;0.00;11.30;292.48
2019;04;30;06;00;13.56;93.00;1015.80;0.00;100.00;0.00;0.00;11.27;296.57
2019;04;30;07;00;13.62;93.00;1016.40;0.00;100.00;0.00;0.00;11.75;319.97
2019;04;30;08;00;13.87;92.00;1016.90;0.00;100.00;0.00;11.57;13.85;335.43
2019;04;30;09;00;14.21;90.00;1017.40;0.00;100.00;0.00;77.43;16.33;345.96
2019;04;30;10;00;14.54;88.00;1017.90;0.00;100.00;0.00;149.52;17.65;348.23
2019;04;30;11;00;14.93;86.00;1018.30;0.00;100.00;0.00;202.92;19.14;343.61
2019;04;30;12;00;15.62;84.00;1018.50;0.00;100.00;0.00;268.78;19.51;330.12
2019;04;30;13;00;16.06;83.00;1018.20;0.00;100.00;0.00;348.88;20.93;319.18
2019;04;30;14;00;18.31;86.00;1016.80;0.00;100.00;0.00;251.87;25.03;310.33
2019;04;30;15;00;18.08;87.00;1017.10;0.00;100.00;0.00;191.35;24.46;302.99
2019;04;30;16;00;17.81;90.00;1017.70;0.00;100.00;0.00;141.51;23.02;296.97
2019;04;30;17;00;17.60;92.00;1018.20;0.00;100.00;0.00;77.43;19.32;296.57
2019;04;30;18;00;17.55;93.00;1018.10;0.10;100.00;0.00;19.58;14.39;301.70
2019;04;30;19;00;17.60;94.00;1018.80;0.10;100.00;0.00;0.00;10.38;303.69
2019;04;30;20;00;17.57;94.00;1019.30;0.00;100.00;0.00;0.00;8.05;296.57
2019;04;30;21;00;17.31;92.00;1019.10;0.00;100.00;0.00;0.00;5.15;294.78
2019;04;30;22;00;17.20;89.00;1019.40;0.00;100.00;0.00;0.00;2.60;303.69
2019;04;30;23;00;17.20;87.00;1019.80;0.00;100.00;0.00;0.00;0.80;26.57
2019;05;01;00;00;17.26;84.00;1019.60;0.00;42.00;0.00;0.00;1.14;108.43
2019;05;01;01;00;17.32;83.00;1019.80;0.00;53.00;0.00;0.00;2.10;149.04
2019;05;01;02;00;17.08;84.00;1019.90;0.00;62.00;0.00;0.00;2.60;146.31
2019;05;01;03;00;16.72;87.00;1020.00;0.00;100.00;0.00;0.00;3.05;135.00
2019;05;01;04;00;16.30;90.00;1019.50;0.00;49.00;0.00;0.00;3.71;119.05
2019;05;01;05;00;15.91;92.00;1019.70;0.00;55.00;0.00;0.00;4.33;131.63
2019;05;01;06;00;15.37;95.00;1019.70;0.00;64.00;0.00;0.00;5.62;129.81
2019;05;01;07;00;14.88;96.00;1019.10;0.00;64.00;0.00;0.00;4.90;126.03
2019;05;01;08;00;14.91;94.00;1019.60;0.00;100.00;12.93;21.36;5.69;145.30
2019;05;01;09;00;15.82;87.00;1019.00;0.00;56.00;0.00;175.33;5.80;150.26
2019;05;01;10;00;17.64;76.00;1018.50;0.00;46.00;24.26;360.45;5.48;156.80
2019;05;01;11;00;19.42;67.00;1018.30;0.00;29.00;30.64;494.84;5.04;180.00
2019;05;01;12;00;20.84;60.00;1017.50;0.00;18.30;41.49;582.06;5.63;206.57
2019;05;01;13;00;21.85;54.00;1016.40;0.00;19.50;48.32;615.88;6.37;227.29
2019;05;01;14;00;22.57;54.00;1015.40;0.00;75.00;47.55;539.34;9.89;236.89
2019;05;01;15;00;22.47;55.00;1015.10;0.00;100.00;12.13;425.42;11.25;230.19
2019;05;01;16;00;22.21;56.00;1014.70;0.00;100.00;0.00;321.29;10.74;219.56
